507,NGC 5812,E,E0
508,NGC 5833,Sbc,SA(s)bc pec:
509,NGC 5861,SABc,SAB(rs)c
510,NGC 5878,Sb,SA(s)b
511,NGC 5885,SABc,SAB(r)c
512,NGC 5892,SABc,SA(s)d
513,NGC 5898,E,E0
514,NGC 5903,E,E2
515,NGC 5915,SBab,SB(s)ab pec
516,NGC 5938,SBbc,SB(rs)bc
517,NGC 5967,SABc,SAB(rs)c:
518,NGC 6118,Sc,SA(s)cd
519,NGC 6156,Sc,SAB(rs)c pec:
520,NGC 6215,Sc,SA(s)c
521,NGC 6221,Sc,SB(s)c
522,NGC 6300,SBb,SB(rs)b
523,NGC 6392,SABa,(R')SAB(rs)ab:
524,NGC 6438,S0,Ring
525,NGC 6438A,I,Ring
526,NGC 6492,Sbc,SA(rs)bc:
527,NGC 6673,E,SAB(s)0^-:
528,NGC 6684,S0,(R')SB(s)0^0^
529,NGC 6699,SABb,SAB(rs)bc:
530,NGC 6744,SABb,SAB(r)bc
531,NGC 6753,Sb,(R)SA(r)b
532,NGC 6754,Sb,SB(rs)b
533,NGC 6758,E,cD:
534,NGC 6769,SABb,SAB(r)b pec
535,NGC 6770,Sb,SAB(rs)b pec
536,NGC 6782,Sa,(R)SAB(r)a
537,NGC 6788,Sab,SA(s)ab
538,NGC 6810,Sab,SA(s)ab: spin
539,NGC 6814,SABb,SAB(rs)bc
540,NGC 6822,IB,IB(s)m
541,NGC 6851,E,E:
542,NGC 6861,E/S0,SA(s)0^+:
543,NGC 6868,E,E2
544,NGC 6872,SBb,SB(s)b pec
545,NGC 6876,E,E3
546,NGC 6887,Sbc,SAbc:
547,NGC 6893,S0,SAB(s)0^0^
548,NGC 6902,SBb,SA(r)b
549,NGC 6907,Sbc,SB(s)bc
550,NGC 6909,E,cD:
551,NGC 6923,SBb,SB(rs)b:
552,NGC 6925,Sbc,SA(s)bc
553,NGC 6935,SABa,(R')SA(r)a
554,NGC 6942,S0/a,(R')SB(rs)0/a:
555,NGC 6943,SABc,SAB(r)cd:
556,NGC 6958,E,cD
557,NGC 7029,E,E6:
558,NGC 7038,SABc,SAB(s)c:
559,NGC 7041,E/S0,SA(rs)0^-:
560,NGC 7049,S0,SA(s)9^0^
561,NGC 7059,SABc,SAB(rs)c
562,NGC 7070,Sc,SA(s)cd
563,NGC 7079,S0,SA(s)0^0^
564,NGC 7083,Sbc,SA(s)bc
565,NGC 7090,Sc,SBc? spin
566,NGC 7098,Sa,(R)SAB(rs)a
567,NGC 7135,E/S0,SA0^- pec
568,NGC 7140,SABb,SAB(rs)bc
569,NGC 7144,E,E0
570,NGC 7145,E,E0
571,NGC 7154,Sm,SB(s)m pec:
572,NGC 7172,Sa,Sa pec spin
573,NGC 7176,E,E pec:
574,NGC 7184,SBc,SB(r)c
575,NGC 7192,E,cD:
576,NGC 7196,E,E:
577,NGC 7205,Sbc,SA(s)bc
578,NGC 7213,Sa,SA(s)a:
579,NGC 7218,Sc,SB(rs)cd
580,NGC 7285,SBa,SB(rs)a pec1
581,NGC 7307,Sc,SB(s)cd pec:
582,NGC 7314,SABb,SAB(rs)bc
583,NGC 7329,SBb,SB(r)b
584,NGC 7361,Sc,S(r)c?
585,NGC 7371,S0/a,(R)SA(r)0/a:
586,NGC 7377,S0/a,SA(s)0^+
587,NGC 7392,SBbc,SA(s)bc
588,NGC 7410,SBa,SB(s)a
589,NGC 7412,SBb,SB(s)b
590,NGC 7418,Sc,SAB(rs)cd
591,NGC 7421,Sbc,SB(rs)bc
592,NGC 7424,Sc,SAB(rs)cd
593,NGC 7456,Sc,SA(s)cd:
594,NGC 7496,Sb,SB(s)b
595,NGC 7507,E,E0
596,NGC 7513,SBb,(R')SB(s)b pec
597,NGC 7531,SABb,SAB(r)bc
598,NGC 7552,Sab,(R')SB(s)ab
599,NGC 7582,SBab,(R')SB(s)ab
600,NGC 7585,S0/a,(R')SA(s)0^+ pe
601,NGC 7590,Sbc,SA(rs)bc:
602,NGC 7599,SBc,SA(s)c
603,NGC 7606,Sb,SA(s)b
604,NGC 7689,SABc,SAB(rs)cd
605,NGC 7713,Scd,SB(r)d:
606,NGC 7721,Sc,SA(s)c
607,NGC 7723,SBb,SB(r)b
608,NGC 7727,SABa,SAB(s)a pec
609,NGC 7755,Sc,SB(rs)c:
610,NGC 7793,Scd,SA(s)d
611,NGC 7796,E,cD
612,PGC 143,IB,IB(s)m
613,PGC 3853,SABc,SAB(rs)d
614,PGC 25886,SABb,SAB(rs)b: spin
615,PGC 29653,IB,IBm
616,PGC 48179,SBm,SB(s)m
